,Day,MaxTemp,AvgTemp,MinTemp,MaxTempInCelsius,AvgTempInCelsius,MinTempInCelsius
0,1,49.0,45.9,42.0,9.44,7.72,5.56
1,2,58.0,50.1,47.0,14.44,10.06,8.33
2,3,51.0,48.5,46.0,10.56,9.17,7.78
3,4,52.0,48.7,44.0,11.11,9.28,6.67
4,5,43.0,41.7,39.0,6.11,5.39,3.89
5,6,41.0,38.2,35.0,5.0,3.44,1.67
6,7,40.0,36.7,33.0,4.44,2.61,0.56
7,8,50.0,45.1,40.0,10.0,7.28,4.44
8,9,57.0,48.3,42.0,13.89,9.06,5.56
9,10,59.0,55.1,49.0,15.0,12.83,9.44
10,11,47.0,42.9,39.0,8.33,6.06,3.89
11,12,44.0,41.1,37.0,6.67,5.06,2.78
12,13,47.0,42.4,37.0,8.33,5.78,2.78
13,14,41.0,37.9,34.0,5.0,3.28,1.11
14,15,59.0,48.3,39.0,15.0,9.06,3.89
15,16,52.0,48.9,46.0,11.11,9.39,7.78
16,17,59.0,50.9,46.0,15.0,10.5,7.78
17,18,63.0,55.3,44.0,17.22,12.94,6.67
18,19,43.0,39.2,34.0,6.11,4.0,1.11
19,20,45.0,37.4,32.0,7.22,3.0,0.0
20,21,41.0,36.8,31.0,5.0,2.67,-0.56
21,22,38.0,32.7,26.0,3.33,0.39,-3.33
22,23,42.0,38.1,32.0,5.56,3.39,0.0
23,24,47.0,43.7,41.0,8.33,6.5,5.0
24,25,47.0,44.3,42.0,8.33,6.83,5.56
25,26,49.0,44.7,43.0,9.44,7.06,6.11
26,27,48.0,44.6,43.0,8.89,7.0,6.11
27,28,52.0,49.7,48.0,11.11,9.83,8.89
28,29,55.0,48.7,46.0,12.78,9.28,7.78
29,30,47.0,43.5,40.0,8.33,6.39,4.44
30,31,44.0,42.1,40.0,6.67,5.61,4.44
